Key,CN,JP_Manual
State_117777_WeaponDesc,装备者卡牌造成的基础伤害与暴击伤害提高 <WeaponEffect_Num:[StateArg1]%>。回合开始时和装备者释放狂气爆发后获得 1 层心火，装备者本回合打出指令卡时消耗 1 层「心火」，使其最终伤害和护盾提高 <WeaponEffect_Num:[StateArg2]%>。超维回合中改为获得「神焰」，效果翻倍。,備者のカードが与える基本ダメージとクリティカルダメージが<WeaponEffect_Num:[StateArg1]%>増加。ターン開始時と装備者が狂気解放を発動後、1層の「心の火」を獲得し、装備者がこのターンに指令カードを使用する時に1層の「心の火」を消費し、最終ダメージとシールドを<WeaponEffect_Num:[StateArg2]%>増加する。超次元ターン中は「神の炎」を獲得し、効果が2倍になる。
State_99723_Desc,队伍唯一：装备者造成的狂气和力量获取效果提高 <WeaponEffect_Num:[StateArg1]%>。释放狂气爆发后本回合下次其他唤醒体狂气爆发最终伤害、护盾、生命回复提高 <WeaponEffect_Num:[StateArg2]%>，若本次狂气爆发触发了「吞噬」，装备者获得 <WeaponEffect_Num:[StateArg3]> 点狂气。,唯一装備：装備者が与える狂気と力の獲得量が <WeaponEffect_Num:[StateArg1]%>増加する。狂気解放を発動した後、このターン中、他の覚醒体の狂気解放の最終ダメージ、シールド、ライフ回復効果が<WeaponEffect_Num:[StateArg2]%>増加する。今回の狂気解放で「捕食」効果を発動した時、装備者は <WeaponEffect_Num:[StateArg3]>狂気を獲得。
State_99723_WeaponDesc,装备者造成的狂气和力量提高 <WeaponEffect_Num:[StateArg1]%>。释放狂气爆发后本回合下次其他唤醒体狂气爆发最终伤害、护盾、生命回复提高 <WeaponEffect_Num:[StateArg2]%>，若本次狂气爆发触发了「吞噬」，装备者获得 <WeaponEffect_Num:[StateArg3]> 点狂气。,装備者が与える狂気と力の獲得量が <WeaponEffect_Num:[StateArg1]%>増加する。狂気解放を発動した後、このターン中、他の覚醒体の狂気解放の最終ダメージ、シールド、ライフ回復効果が<WeaponEffect_Num:[StateArg2]%>増加する。今回の狂気解放で「捕食」効果を発動した時、装備者は <WeaponEffect_Num:[StateArg3]>狂気を獲得。
State_120322_Desc,队伍唯一：手牌上限+2，无法和其他命轮提供的手牌上限叠加。装备者银钥充能、狂气爆发造成的最终伤害、护盾提高 <WeaponEffect_Num:[StateArg1]%>。切换「静海」姿态时，装备者获得 <WeaponEffect_Num:[StateArg2]> 点狂气，3 回合冷却。切换「怒涛」姿态时，对所有敌人施加 <WeaponEffect_Num:[StateArg3]> 层<DwmofeiKeywords:降生仪式>，3 回合冷却。,唯一装備：手札上限+2、同じ効果は重複しない。装備者のキーチャージ、狂気解放による最終ダメージとシールドが<WeaponEffect_Num:[StateArg1]%>増加。『静海』の姿勢に切り替えると、装備者は<WeaponEffect_Num:[StateArg2]>狂気を獲得。クールダウン3ターン。『怒涛』の姿勢に切り替えると、すべての敵に<WeaponEffect_Num:[StateArg3]>層の<DwmofeiKeywords:誕生の儀>を付与する。クールダウン3ターン。
State_120322_WeaponDesc,手牌上限+2，无法和其他命轮提供的手牌上限叠加。装备者银钥充能、狂气爆发造成的最终伤害、护盾提高 <WeaponEffect_Num:[StateArg1]%>。切换「静海」姿态时，装备者获得 <WeaponEffect_Num:[StateArg2]> 点狂气，3 回合冷却。切换「怒涛」姿态时，对所有敌人施加 <WeaponEffect_Num:[StateArg3]> 层<DwmofeiKeywords:降生仪式>，3 回合冷却。,手札上限+2、同じ効果は重複しない。装備者のキーチャージ、狂気解放による最終ダメージとシールドが<WeaponEffect_Num:[StateArg1]%>増加。『静海』の姿勢に切り替えると、装備者は<WeaponEffect_Num:[StateArg2]>狂気を獲得。クールダウン3ターン。『怒涛』の姿勢に切り替えると、すべての敵に<WeaponEffect_Num:[StateArg3]>層の<DwmofeiKeywords:誕生の儀>を付与する。クールダウン3ターン。
Task_133941_Desc,消耗 180 灵啡肽,180工ンフェリンを消費する
Task_133947_Desc,进行 30 次唤醒仪式,30回召喚儀式を行う
Task_133948_Desc,消耗 1500 灵啡肽,1500工ンフェリンを消費する
Task_133940_Desc,给校友点赞 1 次,フレンドに「いいね」を1回する
Task_133946_Desc,完成超验存在 1 次,超越存在を1回完了する
Task_133945_Desc,完成密契转录 50 次,密契転写を50回完了する
Task_135038_Desc,登录游戏,ゲームにログインする
Task_133943_Desc,打出 50 张卡牌,50枚のカードを使用する
Task_132877_Desc,本赛季通关 3 次「幻梦深潜」,「幻夢深潜」を3回クリア
Task_132874_Desc,本赛季击败第三阶段首领 1 次,第三段階のボスを1回撃破
Task_137650_Desc,本赛季打出 150 张牌,150枚のカードを使用
Task_137649_Desc,本赛季打出 150 张牌,150枚のカードを使用
PanelText_UI_GuideNote_Panel_PermTrain_Text_C_Title_RotationMode_Content,相位对弈 - 轮选模式,対人戦・ドラフトモード
PanelText_UI_GuideNote_Panel_PermTrain_Text_C_Title_Pvp_Content,相位对弈 - 预组模式,対人戦・プリセットモード
PanelText_UI_GuideNote_Panel_PermTrain_Text_C_Title_Abyss_Content,融灾禁区,融災禁区
PanelText_UI_GuideNote_Item_Material_Text_C_Goto_Content,前往,移動
PanelText_UI_GuideNote_PermTrainBase_Text_C_Goto_Content,前往,移動
PanelText_UI_GuideNote_Panel_PermTrain_Text_C_Goto_Pvp_Content,前往,移動
PanelText_UI_GuideNote_Panel_PermTrain_Text_C_Goto_RotationMode_Content,前往,移動
PanelText_UI_GuideNote_Panel_PermTrain_Text_C_Goto_Abyss_Content,前往,移動
PanelText_UI_GuideNote_Panel_PermTrain_Text_C_Goto_DailyChallenge_Content,前往,移動
PanelText_UI_GuideNote_Panel_PermTrain_Text_C_Goto_RailyWay_Content,前往,移動
PanelText_UI_GuideNote_Item_Trinket_Text_C_Goto_Content,前往,移動
PanelText_UI_GuideNote_Popup_ResSummary_Text_C_Goto_Content,前往,移動
PanelText_UI_GuideNote_Popup_ResSummary_Text_C_Title_Content,调查行动,調査
PanelText_UI_GuideNote_Item_Trinket_Text_C_Source_Content,获取来源,入手元
PanelText_UI_GuideNote_Item_Material_Text_C_Source_Content,获取来源,入手元
PanelText_UI_GuideNote_Panel_AwakerStrength_Text_C_ExcludeTalent_Content,天赋,才能
PanelText_UI_GuideNote_Panel_AwakerStrength_Text_C_Talent_Content,天赋,才能
ItemGets_126368_Desc,星辰篇普通5-1,星辰篇通常5-1
ItemGets_126371_Desc,星辰篇普通5-2,星辰篇通常5-2
ItemGets_126377_Desc,星辰篇普通5-3,星辰篇通常5-3
ItemGets_126384_Desc,星辰篇普通5-4,星辰篇通常5-4
ItemGets_126378_Desc,星辰篇普通5-5,星辰篇通常5-5
ItemGets_126367_Desc,星辰篇普通5-6,星辰篇通常5-6
ItemGets_126383_Desc,星辰篇普通5-7,星辰篇通常5-7
ItemGets_126374_Desc,星辰篇普通5-8,星辰篇通常5-8
ItemGets_126369_Desc,星辰篇普通5-9,星辰篇通常5-9
ItemGets_126381_Desc,星辰篇普通5-10,星辰篇通常5-10
ItemGets_126379_Desc,星辰篇普通5-11,星辰篇通常5-11
ItemGets_126372_Desc,星辰篇普通5-12,星辰篇通常5-12
ItemGets_126380_Desc,星辰篇普通5-13,星辰篇通常5-13
ItemGets_126373_Desc,星辰篇普通5-14,星辰篇通常5-14
ItemGets_126375_Desc,星辰篇普通5-15,星辰篇通常5-15
ItemGets_126376_Desc,星辰篇普通5-16,星辰篇通常5-16
